reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.0,0.0,0.0,0.0,0.0,1003,140.5844688415527
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0|FILTER,<0,1",0.0,0.0,0.0,0.0,0.0,1000,191.76936149597168
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,189.1019344329834
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|FILTER,<0,1",0.0,0.0,0.0,0.0,0.0,296,46.66709899902344
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|FILTER,>0,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,552,74.3567943572998
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,+1,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,128,18.082380294799805
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,>0,0|COUNT,ODD,1",0.0,0.0,0.0,0.0,0.0,706,95.94559669494627
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,149.05381202697754
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.0,0.0,0.0,0.0,0.0,LIST|INT,0.0,0.0,0.0,0.0,0.0,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|SCAN1L,-,0|TAKE,1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|INT|SCAN1L,-,0|TAKE,1,2",1.0,1.0,1.0,1.0,1.0,498,103.68609428405762
"LIST|INT|SCAN1L,max,0|TAKE,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|MAP,*-1,0|SCAN1L,max,0",0.5,0.0,0.5,0.0,0.25,1006,152.96053886413574
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|ZIPWITH,min,0,0|REVERSE,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|ZIPWITH,min,0,0|REVERSE,2",0.5,0.5,0.5,0.5,0.5,72,10.326147079467772
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",0.0,0.0,0.0,0.0,0.0,23,3.99923324584961
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|ZIPWITH,min,0,0|ZIPWITH,+,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|ZIPWITH,min,0,0|ZIPWITH,+,2,2",0.5,0.5,0.5,0.5,0.5,10,1.0004043579101562
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,max,2,1",0.0,0.0,0.0,0.0,0.0,1000,129.64224815368652
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0",0.0,0.0,0.0,0.0,0.0,1000,144.93060111999512
